key,11,12,13,14,93,94,95,96,97,98,99,100,101,102,103,104
40,ev_snipe4cf,ev_snipe4_hit0f,ev_snipe4_mis0f,,趕走靠近的東西！,投擲護身仙子豬<hex:02100103>趕走靠近採花的仙子的東西！,失敗條件：對方成功接近靠近採花的仙子,趕走靠近的東西,,,,,,,,投擲護身仙子豬
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,ev_snipe_clic0f,,,,給采·努茲發送信號！,在不被塔羅斯和周圍魔物<hex:02100103>發現的情況下<hex:02100103>給采·努茲發送信號！,失敗條件：采·努茲被塔羅斯或周圍魔物發現,給采·努茲發送信號,,,,,,,,發送信號
46,ev_snipe_clic0f,,,,確認M-017的異常反應！,為了確認M-017和主機的關係，<hex:02100103>在阿莉塞使用雷擊的瞬間<hex:02100103>確認M-017是否有異常的反應！,,確認M-017的異常反應,,,,,,,,確認
47,,,,,,,,,,,,,,,,
48,ev_snipe5ct,ev_snipe5_hit0t,ev_snipe5_mis0t,,使魔導巨兵停止行動！,利用魔導等離子球<hex:02100103>使魔導巨兵停止行動！,失敗條件：魔導巨兵接近救援隊的恆輝隊員,使魔導巨兵停止行動,,,,,,,,
49,ev_snipe6ct,ev_snipe6_hit0t,ev_snipe6_mis0t,,抓住奔行威！,在不妨礙其他兔兔族的前提下<hex:02100103>用肉丸擊中不停在說話<hex:02100103>還總是在奔跑的奔行威！,失敗條件：肉丸擊中驚慌失措的兔兔族,用肉丸擊中奔行威,,,,,,,,扔出肉丸
50,ev_snipe_clic0f,,,,觀察巨大的設備！,兔兔族們似乎<hex:02100103>對巨大的設備很感興趣，<hex:02100103>對具備特徵的部分進行觀察！,,觀察蘑菇狀結構,觀察儲罐似的結構,觀察筒狀結構,,,,,,觀察
51,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,麻醉要捉的鳥！,為埃倫維爾提供幫助，<hex:02100103>尋找擁有綠色羽毛叫聲為咕哇的鳥，<hex:02100103>並使用麻醉針使其睡去！,失敗條件：麻醉其他鳥,麻醉要捉的鳥,,,,,,,,釋放麻醉針
52,ev_snipe_clic0f,,,,尋找形跡可疑的奧密克戎！,奧密克戎們正在待命，<hex:02100103>尋找違抗命令沒有待命的個體！,,尋找形跡可疑的奧密克戎,,,,,,,,確認
53,ev_snipe_clic0f,,,,觀察知識神像！,觀察知識神像的細節，<hex:02100103>聆聽眺望知識神像的男性講解，<hex:02100103>從中學習薩雷安的歷史！,,觀察知識神像的細節,,,,,,,,觀察
54,ev_snipe_clic0f,,,,確認兔兔族的數量！,參與「兔兔知多少」遊戲，<hex:02100103>尋找兔兔族並確認其數量！,,確認兔兔族的數量,,,,,,,,確認
55,ev_snipe_clic0f,,,,監視平原倉庫！,在平原倉庫目擊到了<hex:02100103>疑似本地人的青年，<hex:02100103>確認他的存在！,,確認疑似本地人的青年,,,,,,,,確認
56,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭讓興奮狀態的創造生物冷靜下來！,施加了睡眠咒法的吹箭<hex:02100103>能使興奮狀態的創造生物冷靜下來，<hex:02100103>用吹箭射擊興奮狀態的創造生物！,,用吹箭射擊創造生物,,,,,,,,放箭
57,ev_snipe_clic0f,,,,觀察希爾迪布蘭德！,為診斷昏睡狀態的希爾迪布蘭德，<hex:02100103>仔細觀察他的全身！,,仔細觀察希爾迪布蘭德的全身,,,,,,,,觀察
58,ev_snipe_clic0f,,,,尋找不明飛行物體！,在嘆息海南部目擊到了不明飛行物體。<hex:02100103>尋找不明飛行物體！,,找到不明飛行物體,,,,,,,,觀察
59,ev_snipe_clic0f,,,,調查有沒有異常情況！,在火牆調查有沒有異常情況！,,調查異常情況,,,,,,,,觀察
60,ev_snipe_clic0f,,,,觀察神轎！,觀察哈努族在節日中使用的神轎<hex:02100103>並調查破損情況！,,調查神轎,,,,,,,,觀察
61,ev_snipe_clic0f,,,,觀察釉藥工房內部！,為了推理出罐子工卡黑的願望<hex:02100103>觀察釉藥工房內部！,,觀察釉藥工房內部,,,,,,,,觀察
62,ev_snipe_clic0f,,,,尋找星戰士團的士兵！,尋找正在追蹤拉札罕正義俠的<hex:02100103>星戰士團的士兵！,,尋找星戰士團的士兵,,,,,,,,確認
63,,,,,,,,,,,,,,,,
64,ev_snipe_clic0f,,,,觀察躺著的士兵！,為了分析佐拉加軍的勢力<hex:02100103>觀察躺著的士兵！,,觀察躺著的士兵,,,,,,,,觀察
65,ev_snipe_clic0f,,,,觀察青磷水相關設備！,為了幫忙進行定期檢查<hex:02100103>觀察青磷水相關設備！,,觀察青磷水相關設備,,,,,,,,觀察
66,ev_snipe_clic0f,,,,觀察雙頭雕像！,為了了解瑪穆克<hex:02100103>觀察雙頭雕像的細節！,,觀察雙頭雕像的細節,,,,,,,,觀察
67,ev_snipe_clic0f,,,,尋找需要救助的人！,海岸附近有人溺水了，<hex:02100103>盡快找到需要救助的人！,,尋找需要救助的人,,,,,,,,觀察
