key,2,3
8,烏爾達哈與希拉狄哈,　　貝拉哈迪亞一分為二，成了對立中的兩國烏爾達哈與希拉狄哈。正如歷史所述，來生神之淚毀滅了希拉狄哈為兩國之爭畫上了永遠的句號。不久之後烏爾達哈就遷都至希拉狄哈舊日都城所在的地方，因此，如今在烏爾達哈王都的周邊和地下深處還有大量的希拉狄哈遺跡。建造上下水道時，借用了當時的遺跡，因此得名「希拉狄哈水道」……多麼諷刺啊，要知道當年兩國大規模戰爭的導火索正是水源地之爭。<hex:02100103>　　既然水道借用了希拉狄哈的遺跡，那麼會通往另一座遺跡自然不算怪事，但朕沒想到竟然能一路通到那座似乎是希拉狄哈王宮的地方。如果這座遺跡當年是暴露在地面上的，大約早被薩納蘭的烈日和風沙吞噬，風化殆盡了。正是恰好被深埋於地下，才讓它能像如今這樣，彷彿時間都停止了一般，完好地保存下來。<hex:02100103>　　平常是很難發現保存得這樣好的遺跡的吧。對歷史學者來說，那肯定是一座極其重要的調查目標。然而，進入水道通往遺跡的方法實在是令人頭大，這樣下去恐怕是很難保證每次都能到達那座遺跡的吧。朕現在最先要做的，就是修整前往那裡的道路。
9,國旗飄揚,　　每當看到希拉狄哈的國旗，就不由得會想起烏爾達哈和希拉狄哈兩國的初代國王是一對雙胞胎。不過，兩國的國旗之所以會如此相似，並不是因為這個原因。回到貝拉哈迪亞時代，國旗上的審理之天平兩端安放著的還是聖火和葡萄。後來，烏爾達哈繼承了象徵力量的聖火，希拉狄哈則傳承了象徵智慧的葡萄，雙方又各自選用了代表財富的寶石和代表力量的頭盔平衡天平。兩國均高舉己方那面與貝拉哈迪亞已一脈相承的國旗，宣稱本國作為天命所歸的繼承者的正當性。<hex:02100103>　　雖然兩國的國旗都帶有「力量」這個要素的象徵，但烏爾達哈的力量指的是「魔法」，希拉狄哈的力量指的是「武力」，這二者的性質大有不同。希拉狄哈國旗所描述的「力量」，更像是雲集於我國的鬥技場的那些劍鬥士所擁有的力量。<hex:02100103>　　現在回想起來，最後守在那裡的那台粗魯的守護者，正是希拉狄哈的風格。守護它頭部的那頂頭盔上還裝飾著纖細精美的葡萄花樣。而且它的身體也是與希拉狄哈白銀天平相似的顏色，即使在採光不佳的地底，也反射著炫目的銀光。可希拉狄哈早已毀滅了，它卻仍在那裡，守護著失去了主人的王宮，著實令人心生惋惜。
10,母親的眼瞳,　　可真沒想到，連這種常年封閉的地下遺跡都能有盜墓的人闖進來。朕看遍了一路，愣是沒找到除了入口以外能進去的地方。當然，考慮到遺跡的構造這麼複雜，還有朕沒能發現的入口也不算怪事。<hex:02100103>　　話又說回來了，關於這些盜墓者留下的塗鴉……朕現在回想起來，覺得他們指的是「娜夏孔雀石」。朕認為，那應該就是前往隱藏之地的鑰匙。不過，沒想到竟然是娜夏孔雀石，這讓朕該如何平靜地看待此事呢。<hex:02100103>　　為了應對第七靈災後復興的需求，而再次開發銅鈴銅山……在這個過程中出產的高品質孔雀石，被烏爾達哈的寶石商人命名為「娜夏孔雀石「。母后若是健在倒還好說，母后都離世這麼多年了，那群商人竟然還為了利益將寶石冠上母后的名字，這種行為自然讓朕深感不快。<hex:02100103>　　但讓朕沒想到的是，當商人們把娜夏孔雀石進獻給朕時，朕確實從寶石柔和的微光中看到了母后那雙溫柔地注視著朕的眼瞳。面對如此美妙的顏色，即使不滿，朕也只有接受這個命名了……
11,索恩朝的寶庫,　　在遺跡裡找到的那張紙的背面，朕找到了「希拉狄哈水道」、「索恩朝」、「寶物庫」這幾個單詞的塗鴉。那些盜墓者似乎認為索恩朝的寶庫就藏在希拉狄哈水道的某處。然而索恩朝向來以他們清廉節儉的政風而聞名。若不是索恩朝的國王願意禪位，現在的第二烏爾朝都不會存在。朕從未聽說過索恩朝有任何將王室寶物擅自帶走藏匿的傳聞……假設索恩一族的人真的將財寶藏在了某個地方，他們也定然知會了烏爾一族。若這個設想成立，那就可以假定烏爾家的歷代國王都對此知情，而朕的父王當然也對此有所了解。<hex:02100103>　　父王將鑰匙贈送給朕時曾說過，這把鑰匙能打開保管了烏爾達哈重要回憶的寶庫。並且，父王希望能在朕長大之後，將其中的一切展示給朕看……莫非，父王指的就是這個寶庫？<hex:02100103>　　雖然朕思考了很多，但說到底這些都不過是朕的假設。至少這次探訪的希拉狄哈王宮遺跡中並沒有類似的場所。考慮到父王當時所表述的意思，朕認為這個寶庫如今仍藏在一個不為人知的地方。
12,父王和母后的信,　　在希拉狄哈水道的深處發現了裝滿財寶的倉庫。保存在其中的目錄頂上寫有「願烏爾王室能為了民眾與近鄰繼承這一切」的宣言，落款則是索恩朝末代國王的名字，後續的頁面上還有歷代國王的簽字。這本目錄的最後，由朕的父王簽名的那一頁夾著一張已然褪色的信件。「願愛女娜娜莫能讀到此信」……這封用父王的筆跡寫就的信件上留下了如此的字眼。<hex:02100103>　　這封信介紹了這座寶庫，將這裡描述為只有王位繼承者才能知道的禁地，並提到了從索恩朝時代保存至今的「人類與蜥蜴人攜手共鬥的證據」。這本是國王與國王之間代代相傳的機密，但父王考慮到自己遭遇不測的可能性，提前寫下了這封信有備無患。<hex:02100103>　　「娜娜莫，不知你長成了怎樣的一位淑女。女王對你來說應該是一條滿是坎坷的道路吧。作為父母，我們有一件事希望你能一直記得。在作為一個女王之前，你永遠是我們最愛也最驕傲的女兒。我們只希望能在你的臉上看到柔和的粉桃色，在你的口中聽到你靦腆的笑聲。你能健康快樂，我們就能放心了。」……信的結尾，父王和母后在寫完這句話後留下了他們的署名。<hex:02100103>　　父王、母后……請你們一定一定放心。朕如今的每一天，包括此刻，都很開心……
13,陰陽師的失物騷動,　　曾經有一位本領高超的男性陰陽師。他雖然在製作咒具方面頗具才能，但不知為什麼，製作出來的東西經常會丟失。因此他又製作了一個「防止丟失的箱子」，上面施加了必定會回到主人身邊的咒術，用於保管咒具。多虧如此，每次箱子被偷走時都能順利物歸原主，但也僅限於箱子……裝在裡面的咒具每次都會被洗劫一空。<hex:02100103>　　時守先生曾說過聖淨院有多個這位陰陽師製作的防止丟失的箱子。據說這些箱子上還施加了可以抑制咒具力量的咒術，其中管理著諸如吸血妖刀和萌木土偶這樣的物品。我此次回收的是用來裝吸血妖刀的箱子，而用來裝萌木土偶的箱子則因騷動下落不明。這裡提到的萌木土偶，據說如果能在將其放進祠堂之前先對祠堂表達敬意，它就會發揮出相應的力量，令周圍的草木恢復活力。因此聖淨院一直在用它來保護御神木。不過，如果使用不當可能會導致土偶的力量失控，對大山造成惡劣影響，所以發現之後最好能及時回收。
14,染血的妖刀,　　遠東之國還處於亂世的時候，曾出現過一位一夫當關的猛士取下過無數敵將首級。其名為猛虎，猛虎戰鬥時正如其名字一般威猛無比，無往不勝，但也正因為這份強大，其主君擔心他會謀反，對他起了戒心……最終他遭到了暗算，被人用從他手中奪走的愛刀砍掉了頭顱。不知是這位猛士無盡的遺恨，還是被那把刀斬殺的人們的怨念所致，整個刀身被染成了血紅色，不論是用紙擦還是重新打磨，那把刀都無法恢復原來的顏色。後來有人嘗試用靈山的清水進行淨化，結果適得其反，反倒讓那把刀獲得了靈力，變成了一把妖刀，會驅使使用者不自覺地犯下惡行。<hex:02100103>　　這個故事中提到的靈山，不言而喻指的就是六根山。其實時守先生也曾提到過山裡有一個被清水填滿的湖。那一帶的靈力尤為濃厚，供奉著重要物品的神社也被安置在那裡。因此可以說那裡出現不祥之物的可能性很高。但知道前往神社方法的只有高僧……況且此次涉足的地方也並沒有看到神社的蹤影。現在唯一能做的，也只有找找其他地方了。
15,鎧甲不語,　　擁有著戰國時期最強之名的猛士——猛虎。他生前穿著的那套裝備，被其子孫很好地繼承了下來。但有一天早上，一直被好好保管的猛虎的裝備在沾滿血的狀態下被人在宅邸庭院中發現，而且旁邊還躺著一個疑似盜賊的男性屍體……人們紛紛猜測是祖先的靈魂依附在了裝備上，保護了家族的財物，而身為持有者的猛虎子孫則非常不安，擔心這套裝備在不久的將來會引發什麼事端。最終，子孫們決定將這套傳家寶供奉給聖淨院。<hex:02100103>　　在東方有個說法叫「萬物皆有神靈」，人們認為像自然產生的巨像兵和元精，或者妖異和死靈之類，又或者是獲得了靈性的瑞獸這種，都被涵蓋在了其中。或許猛虎的那套裝備就是其中的一種。如今討伐已經結束，其真偽已無從得知，但畢竟那裡是靈力豐富的六根山，也有可能是吸收了濃密的環境乙太，然後依附在裝備上，膨脹成了巨大的妖怪。慶幸我們沒有像故事中的小賊一樣丟了性命。
16,刀匠出人頭地,　　在紫州北部有一位製作農具的名為七種的男子，後來成為了刀匠並且聞名天下，這段成功的個人經歷也成為了遠東之國家喻戶曉的經典故事。其中最為有名的要數以四聖獸為原型構想出來的四把刀……其中兩把刀為鎧甲妖怪擁有的「赤帝」和「青帝」，剩下的兩把刀則為「白帝」和「黑帝」。這四把刀擁有著極其美麗的刀身，為七種提供了嶄露頭角的契機，而主人的出人頭地也為自身帶來了名氣，可謂互相成就。另外白帝經常會被拿來和那把名刀「風斷」進行比較。<hex:02100103>　　按照椿小姐所說，受到七種在六根山附近設定鍛鐵場的影響，紫州北部彙集了大量鍛鐵匠，如今已經成為了名刀的一大產地。而伴隨著與火為伍的工匠的聚集，與火之神相關的祭祀活動也在不斷增加。其中最著名的，要數鍛鐵匠們在3個燈籠中點火的「三燈祭」……這似乎是一種向火之神祈願，期盼過去、現在、未來的作品都能充滿力量的儀式。也有說法稱「三」是一個吉利的數字，這樣做也是為了討一個好彩頭。
17,樂器工匠和美麗的演奏者,　　很久很久以前……有一位工匠傾注了自己全部心血製作了「琵琶」。因做工過於出色，所以他堅持要把這個琵琶交給足夠出色的演奏者，然而伴隨著時光的不斷流逝，這個願望始終未能達成。等找到能讓自己滿意的演奏者時，這位工匠已經到了老態龍鐘的年紀了。這位突然出現的女性演奏者，在他面前演奏了一首如明月般美妙動聽的曲子，贏得了工匠的青睞。之後她帶著琵琶頻繁前往遠東之國，在一次次精彩演出的過程中收穫了大批忠實追隨者，不過在工匠天壽之際，她卻和琵琶一起失去了行蹤。人們在懷念她的演奏的同時，也有傳言說她會不會就是琵琶的付喪神。<hex:02100103>　　付喪神的存在多種多樣，不僅顯現方式不同，引發的事情也有好壞之分。一般來說像這種不祥之物，多是比較有名或者做工精良的物品，所以在收藏家當中人氣很高，如果有付喪神依附其中的話，價值會更高。但也僅限於像琵琶這種依附著好的付喪神的情況。如果是壞的付喪神的話，還是先進行一下驅魔儀式之類的才更容易找到買家。
18,輸給慾望的姑娘,　　過去在某個村子裡有一個信仰虔誠的姑娘。即便是在收成不好的年份，姑娘自己餓著肚子也要向神明上供，並期盼著來年能有一個好收成。某晚，神明出現在了姑娘的夢裡，等她醒來之後，發現床頭放著一個神奇的小槌子，這就是萬寶槌。據說姑娘一邊祈禱一邊揮舞小槌子的話，就會有米源源不斷地流出來。姑娘因此解決了吃飯問題，但很快她就忘記了曾經的祈禱，開始變得傲慢，四處放縱，肆意揮霍。如此高調自然鬧得人盡皆知，很快，姑娘就被前來奪取小槌子的赤鬼殺害。<hex:02100103>　　也許因為我是商人，所以在我看來沒有小槌子也有辦法增加財富。我突然想起了自己還是孤兒時候的事，那時我在烏爾達哈的小巷子裡苟活，第一次見到羅羅力特會長那天，他給了我很多金幣。會長當時對我說：「我聽說這裡有一個獨具慧眼的小鬼，應該就是你吧。給你一天時間，把那些金幣翻倍。」因為我知道對方是什麼人，所以很爽快地便答應了，並完成了對方交給我的任務，然後會長就把我招進了東阿爾迪納德商會。如果我像那個故事裡的姑娘一樣利慾熏心，肆意揮霍的話……不知道下場會如何呢？
19,燈籠妖怪照亮前方,　　那是一個伸手不見五指的夜晚，巡夜的武士們正走在昏暗的道路上，突然看到遠方出現了燈籠的亮光。他們好奇大半夜的會是誰在那裡，於是便上前查看。但是那裡沒有人影，唯有一個點亮的燈籠靜靜地放在那裡。眾人雖然覺得不可思議，但因為擔心會引發火災，還是準備把燈籠拿走。可正當武士伸手之時，周圍突然出現了無數的鬼火。緊接著又出現了彷彿嘲笑武士們一般的笑聲，原本以為會發生什麼更可怕的事情，可突然之間光亮就消失了，周圍又恢復了一片黑暗。<hex:02100103>　　這就是流傳於遠東之國的「妖怪提燈」的故事。這原本只是為了嚇唬人而虛構出來的形象，如今這種妖怪真的出現在了六根山並且還襲擊了人類，我多少還是感到有些意外。據時守先生說，這是高僧代代相傳的物品，或許是因為認定我們為入侵者，為了保護聖淨院才開始活動的。另外我還重新調查了不再動彈的燈籠，在上面找到了一些東方文字，寫的是「在夜色中發光的指示燈，遵循火之神的祭祀活動，照亮黃金之路」。這句話到底是什麼意思，我還是多少有些在意的。
20,勞動者的勇氣,　　在六根山附近的某個村子裡，有一位勤勞的青年在勤勤懇懇地耕田。突然他停止了手中的工作，只因聽到了某人的呼喊聲。他抬起頭，看到可怕的野獸正在襲擊村民。一想到最近附近的多個村落都出現了食人野獸的事，青年也慌張了起來。這樣下去同伴會有生命危險……所以他鼓起勇氣將手中的農具扔向了野獸。好在農具成功擊中了野獸的要害，野獸因此受到驚嚇，快速往山裡逃去。以此事為契機，村子裡推出了新的祭祀活動，向代替野獸的稻草捆投擲農具，祈禱驅除厄運和豐收。<hex:02100103>　　話說今天帶回來的農具上面居然刻著「七種」的字樣。這個人如今已經成為了遠近聞名的刀匠，不過他年輕時則是靠為當地的農民提供工具為生。我聽說羅薇娜商會手下的鍛鐵匠經常會為了還欠下的酒錢而幫別人打水壺，感覺七種那邊就和這種情況一樣。另外關於七種流傳著很多故事，還聽說他特別喜歡四聖獸，還專門在鍛鐵場的四個角落為它們打造了氣派的雕像。
21,武人的榮耀,　　遠東之國在各地都設定了楔石以有效控制地震的發生。我們造訪過的六根山當中也有楔石，還流傳有這樣一個故事。曾經有一位巡禮的武人嘗試將手放在楔石上，結果突然出現了一隻身上插著農具的野獸向他襲來。武人反應迅速，立刻開始應戰並刺出了自己心愛的薙刀，被刺中的野獸疼得滿地打滾，撞上了楔石……結果引發了可怕的大地轟鳴。武人擔心這樣下去會發生大地震，便鬆開了手中的武器，野獸就這樣帶著扎在身上的薙刀一口氣逃走了。隨後武人擦拭了被野獸的血沾染的楔石，轟鳴聲就此停了下來，災害沒有進一步擴大。<hex:02100103>　　關於這個故事有著很多的說法，有人說武人成功討伐了野獸，還有人說是野獸可怕的叫聲引發了轟鳴。或許是因為遠東之國自古便是一個地震頻發的地方，所以有很多將自然災害神魔化與異形對戰的故事。甚至在薩雷安魔法大學的研究者當中，也有人積極主張楔石是一種魔器，通過將其配置在地脈的結節點中，可以讓地脈的流動變得穩定。
22,修行僧的封印術,　　那一天，有一位修行僧正在六根山的深處冥想。當時四下安靜，連風吹過葉子的聲音都聽不到，卻突然傳來了踩踏草叢的腳步聲。修行僧以為是誰有事找他，結果睜眼一看，映入眼簾的是身上插著農具和薙刀的妖怪。修行僧認出這正是瑞獸奴延之王——獅子王，於是便拿起了錫杖。身負重傷的獅子王雖然試圖拚命逃脫，但修行僧怎會輕易放過這個襲擊了眾多人類的妖怪。在經歷了一波激烈的攻防戰之後，修行僧刺出錫杖，將獅子王封印在了岩石中。據傳修行僧為了方便監視封印，於是開設了聖淨院。<hex:02100103>　　原來那個錫杖並不是單純的手杖，還可以通過聲音來驅魔，有時甚至是可以護身的武器。即便是沒有那位修行僧那般實力的我，至少也可以拿來支撐身體，有了那樣一根手杖，相信在爬六根山時也能輕鬆一些。總之，沒什麼體力的我也能順利度過這樣的冒險真是謝天謝地。要是在此次探索中遇到需要攀爬堆積的木箱或者絕壁那樣的情況的話，那我可就束手無策了。
23,櫻花樹下的許願,　　有一位年紀輕輕就失去了愛妻的陰陽師。即使過去多年，這份離別的悲痛也始終無法癒合，伴隨著他的不斷老去，二人結婚時種下的櫻花樹上的花也在逐年減少。如今的他只期盼著這充滿回憶的櫻花能生長得茁壯一些。結果，與他同為陰陽師的妻子生前製作的土偶開始發光，讓櫻花樹重新煥發了活力。陰陽師彷彿是感受到了來自妻子的撫慰一般，又重新振作了起來，把櫻花樹打理得井井有條，安穩地度過了餘生。<hex:02100103>　　一提到櫻花，我想到的是曾經擋住了我們去路的名為夜櫻的忍者。椿小姐曾說過，夜櫻是花隱一族的後裔，是繼承了與花相關的特殊忍術的高手。她似乎還是埋火大人派往六根山的臣子之一。據時守先生所說，曾在騷動當中為人們提供過避難支援的她，為了幫助來不及逃走的小孩子，最終慘遭妖怪殺害……如果其屍首是遭到了他人操控的話，那真是著實令人痛心。
24,古董「大煙管」,　　長久以來，大煙管都有著能讓擁有者幸福或者不幸這兩種截然相反的說法。但是我認為，大煙管其實並沒有這樣的力量，只是擁有者單純地把自己的幸福或不幸都歸咎在了大煙管身上，以尋求一種心理上的平衡而已。但無論關於大煙管的那些說法是真是假，只要有了豪雷那深不見底的慾望，再加上六根山豐富的靈力，也足以讓付喪神依附其中。那麼問題在於，得到了大煙管的豪雷，直到生命的最後都能被自己喜愛的古董包圍，這到底算不算是一種幸福呢？還是說，自己的慾望沒能得到滿足，就這樣變成了妖怪，算是一種不幸嗎？<hex:02100103>　　到頭來，幸福或者不幸，其實都是當事者的一種主觀感受。就拿我來舉例，我是一個孤兒，那麼從一般的角度來講，我應該算是不幸吧，可我自己卻從來沒這樣想過。反倒覺得我從年少時起就開始學習經商，見過很多人和事……積累了很多知識和見聞，有一種「前半生真是沒白活」的感覺。以前從沒有想過自己到底是幸福還是不幸，但就目前來看，我應該算是幸福的吧。
25,使魔與襲擊者的真實身份,　　「有個奇怪的人引來了像洞虎一樣的會動的木像，太嚇人了！」<hex:02100103><hex:02100103>　　聽說是會動的木像時，剛開始還以為是巨像兵之類的東西。我還聽說在東方地區，有那種木製的機關巨像兵會用於戰鬥中……我在說出自己的想法後，卡利卡回答了我的疑問。阿羅阿羅島上留存有一種由過去的居民創造的名為庫阿庫阿的古老使魔。會動的木像可能就是這個庫阿庫阿。另外島上還有其他類似庫阿庫阿的存在，如果不小心接觸到了它們，可能會遭到攻擊，所以要多加小心。<hex:02100103>　　在發祥於南洋群島的秘術當中，寶石被視為「介於物質與生命之間的東西」。所以眾所周知，使魔的內核用的就是寶石。同理，木材也可以和寶石一樣視為「介於物質與生命之間的東西」。在開始使用寶石之前的更早的古式秘術當中，使魔的內核更多使用的是木材。從這個角度來看，能夠引來如此古老的使魔，那麼襲擊摩提夏他們的這個奇怪的人，應該是掌握了秘術。
26,阿羅阿羅島的遷入者,　　「阿羅阿羅島自然生態豐富，周邊的漁場甚至不輸薩維奈島……但是，為什麼沒人住在這裡呢？」<hex:02100103><hex:02100103>　　阿羅阿羅島雖然是個美麗的島嶼，但是土地面積狹小，環境變化頻繁，天然資源也很有限。這樣的環境自然也是難以抵擋自然災害。因此這個島的歷史，就是一個有人遷入和搬走無人的循環往復。<hex:02100103>　　據卡利卡從過去的島民那裡了解的情況來看，能確認到的最早的居民是在第四星曆末期。不過伴隨著被稱為大冰雪時代的第五靈災的降臨，他們在島上留下了神子像，然後就突然消失了。雖然留有生活過的痕跡，但他們的真實身份卻無從得知，也就是說我們所說的「被遺忘之民」。<hex:02100103>　　時光流逝，到了第五星曆時代，彼時的人們已經掌握了航海術。後來他們當中的一部分人前往了威爾布蘭德島，與尼姆這個城邦國家的建國有著千絲萬縷的聯繫。但是尼姆在第六靈災中被毀滅，島民的子孫們又再次逃回了阿羅阿羅島。到了第六星曆時代，算術得到了大力發展，一部分島民又再次回到了威爾布蘭德島，並將秘術發揚光大。然後就到了100年前，海底火山噴發，阿羅阿羅島再次變成了無人島。但既然說歷史是會重覆的，那相信終有一天還會有人再次遷入那裡。
